 # Key parameters for the calculation
 # TASK,INSTR,TEMP,WING,E_UNIT
 #    2,   3, 300,   0,   1
 # Q, deltaE, Total
  0.000000E+00, -0.309989E+02,  0.000000E+00
  0.000000E+00, -0.303990E+02,  0.000000E+00
  0.000000E+00, -0.297990E+02,  0.000000E+00
  0.000000E+00, -0.291990E+02,  0.000000E+00
  0.000000E+00, -0.285990E+02,  0.000000E+00
  0.000000E+00, -0.279990E+02,  0.616614E-04
  0.000000E+00, -0.273991E+02,  0.000000E+00
  0.000000E+00, -0.267991E+02,  0.000000E+00
  0.000000E+00, -0.261991E+02,  0.000000E+00
  0.000000E+00, -0.255991E+02,  0.000000E+00
  0.000000E+00, -0.249991E+02,  0.000000E+00
  0.000000E+00, -0.243992E+02,  0.118740E-03
  0.000000E+00, -0.237992E+02,  0.000000E+00
  0.000000E+00, -0.231992E+02,  0.000000E+00
  0.000000E+00, -0.225992E+02,  0.000000E+00
  0.000000E+00, -0.219992E+02,  0.000000E+00
  0.000000E+00, -0.213993E+02,  0.000000E+00
  0.000000E+00, -0.207993E+02,  0.000000E+00
  0.000000E+00, -0.201993E+02,  0.000000E+00
  0.000000E+00, -0.195993E+02,  0.000000E+00
  0.000000E+00, -0.189993E+02,  0.375838E-03
  0.000000E+00, -0.183994E+02,  0.000000E+00
  0.000000E+00, -0.177994E+02,  0.000000E+00
  0.000000E+00, -0.171994E+02,  0.300252E-04
  0.000000E+00, -0.165994E+02,  0.402862E-04
  0.000000E+00, -0.159995E+02,  0.000000E+00
  0.000000E+00, -0.153995E+02,  0.000000E+00
  0.000000E+00, -0.147995E+02,  0.000000E+00
  0.000000E+00, -0.141995E+02,  0.000000E+00
  0.000000E+00, -0.135995E+02,  0.000000E+00
  0.000000E+00, -0.129996E+02,  0.825908E-04
  0.000000E+00, -0.123996E+02,  0.000000E+00
  0.000000E+00, -0.117996E+02,  0.775209E-04
  0.000000E+00, -0.111996E+02,  0.000000E+00
  0.000000E+00, -0.105996E+02,  0.000000E+00
  0.000000E+00, -0.999966E+01,  0.000000E+00
  0.000000E+00, -0.939968E+01,  0.000000E+00
  0.000000E+00, -0.879970E+01,  0.000000E+00
  0.000000E+00, -0.819972E+01,  0.000000E+00
  0.000000E+00, -0.759974E+01,  0.000000E+00
  0.000000E+00, -0.699976E+01,  0.215714E-04
  0.000000E+00, -0.639978E+01,  0.000000E+00
  0.000000E+00, -0.579980E+01,  0.000000E+00
  0.000000E+00, -0.519982E+01,  0.000000E+00
  0.000000E+00, -0.459984E+01,  0.000000E+00
  0.000000E+00, -0.399986E+01,  0.000000E+00
  0.000000E+00, -0.339988E+01,  0.000000E+00
  0.000000E+00, -0.279990E+01,  0.000000E+00
  0.000000E+00, -0.219992E+01,  0.000000E+00
  0.000000E+00, -0.159995E+01,  0.000000E+00
  0.000000E+00, -0.999966E+00,  0.000000E+00
  0.000000E+00, -0.399986E+00,  0.000000E+00
  0.000000E+00,  0.199993E+00,  0.000000E+00
  0.000000E+00,  0.799973E+00,  0.000000E+00
  0.000000E+00,  0.139995E+01,  0.000000E+00
  0.000000E+00,  0.199993E+01,  0.000000E+00
  0.000000E+00,  0.259991E+01,  0.000000E+00
  0.000000E+00,  0.319989E+01,  0.000000E+00
  0.000000E+00,  0.379987E+01,  0.000000E+00
  0.000000E+00,  0.439985E+01,  0.000000E+00
  0.000000E+00,  0.499983E+01,  0.000000E+00
  0.000000E+00,  0.559981E+01,  0.000000E+00
  0.000000E+00,  0.619979E+01,  0.000000E+00
  0.000000E+00,  0.679977E+01,  0.281199E-04
  0.000000E+00,  0.739975E+01,  0.000000E+00
  0.000000E+00,  0.799973E+01,  0.000000E+00
  0.000000E+00,  0.859970E+01,  0.000000E+00
  0.000000E+00,  0.919968E+01,  0.000000E+00
