 # Key parameters for the calculation
 # TASK,INSTR,TEMP,WING,E_UNIT
 #    2,   3,   5,   0,   1
 # Q, deltaE, Total
 -0.375000E-01,  0.998966E+02,  0.000000E+00
 -0.375000E-01,  0.100797E+03,  0.000000E+00
 -0.375000E-01,  0.101697E+03,  0.000000E+00
 -0.375000E-01,  0.102596E+03,  0.000000E+00
 -0.375000E-01,  0.103496E+03,  0.000000E+00
 -0.375000E-01,  0.104396E+03,  0.000000E+00
 -0.375000E-01,  0.105296E+03,  0.000000E+00
 -0.375000E-01,  0.106196E+03,  0.000000E+00
 -0.375000E-01,  0.107096E+03,  0.000000E+00
 -0.375000E-01,  0.107996E+03,  0.000000E+00
 -0.375000E-01,  0.108896E+03,  0.000000E+00
 -0.375000E-01,  0.109796E+03,  0.000000E+00
 -0.375000E-01,  0.110696E+03,  0.000000E+00
 -0.375000E-01,  0.111596E+03,  0.000000E+00
 -0.375000E-01,  0.112496E+03,  0.000000E+00
 -0.375000E-01,  0.113396E+03,  0.000000E+00
 -0.375000E-01,  0.114296E+03,  0.000000E+00
 -0.375000E-01,  0.115196E+03,  0.000000E+00
 -0.375000E-01,  0.116096E+03,  0.000000E+00
 -0.375000E-01,  0.116996E+03,  0.000000E+00
 -0.375000E-01,  0.117896E+03,  0.000000E+00
 -0.375000E-01,  0.118796E+03,  0.000000E+00
 -0.375000E-01,  0.119696E+03,  0.000000E+00
 -0.375000E-01,  0.120596E+03,  0.000000E+00
 -0.375000E-01,  0.121496E+03,  0.000000E+00
 -0.375000E-01,  0.122396E+03,  0.000000E+00
 -0.375000E-01,  0.123296E+03,  0.000000E+00
 -0.375000E-01,  0.124196E+03,  0.000000E+00
 -0.375000E-01,  0.125096E+03,  0.000000E+00
 -0.375000E-01,  0.125996E+03,  0.000000E+00
 -0.375000E-01,  0.126896E+03,  0.000000E+00
 -0.375000E-01,  0.127796E+03,  0.000000E+00
 -0.375000E-01,  0.128696E+03,  0.000000E+00
 -0.375000E-01,  0.129596E+03,  0.000000E+00
 -0.375000E-01,  0.130496E+03,  0.000000E+00
 -0.375000E-01,  0.131395E+03,  0.151650E-04
 -0.375000E-01,  0.132295E+03,  0.000000E+00
 -0.375000E-01,  0.133195E+03,  0.466001E-04
 -0.375000E-01,  0.134095E+03,  0.137000E-06
 -0.375000E-01,  0.134995E+03,  0.000000E+00
 -0.375000E-01,  0.135895E+03,  0.000000E+00
 -0.375000E-01,  0.136795E+03,  0.208432E-05
 -0.375000E-01,  0.137695E+03,  0.873539E-05
 -0.375000E-01,  0.138595E+03,  0.000000E+00
 -0.375000E-01,  0.139495E+03,  0.000000E+00
 -0.375000E-01,  0.140395E+03,  0.000000E+00
 -0.375000E-01,  0.141295E+03,  0.000000E+00
 -0.375000E-01,  0.142195E+03,  0.000000E+00
 -0.375000E-01,  0.143095E+03,  0.000000E+00
 -0.375000E-01,  0.143995E+03,  0.000000E+00
 -0.375000E-01,  0.144895E+03,  0.000000E+00
 -0.375000E-01,  0.145795E+03,  0.000000E+00
 -0.375000E-01,  0.146695E+03,  0.000000E+00
 -0.375000E-01,  0.147595E+03,  0.153589E-05
 -0.375000E-01,  0.148495E+03,  0.273079E-05
 -0.375000E-01,  0.149395E+03,  0.173902E-05
