 # Key parameters for the calculation
 # TASK,INSTR,TEMP,WING,E_UNIT
 #    2,   3,   5,   0,   1
 # Q, deltaE, Total
  0.000000E+00,  0.479984E+02,  0.000000E+00
  0.000000E+00,  0.485983E+02,  0.000000E+00
  0.000000E+00,  0.491983E+02,  0.449146E-04
  0.000000E+00,  0.497983E+02,  0.000000E+00
  0.000000E+00,  0.503983E+02,  0.574671E-03
  0.000000E+00,  0.509983E+02,  0.000000E+00
  0.000000E+00,  0.515982E+02,  0.000000E+00
  0.000000E+00,  0.521982E+02,  0.000000E+00
  0.000000E+00,  0.527982E+02,  0.000000E+00
  0.000000E+00,  0.533982E+02,  0.000000E+00
  0.000000E+00,  0.539981E+02,  0.000000E+00
  0.000000E+00,  0.545981E+02,  0.000000E+00
  0.000000E+00,  0.551981E+02,  0.000000E+00
  0.000000E+00,  0.557981E+02,  0.000000E+00
  0.000000E+00,  0.563981E+02,  0.000000E+00
  0.000000E+00,  0.569980E+02,  0.000000E+00
  0.000000E+00,  0.575980E+02,  0.000000E+00
  0.000000E+00,  0.581980E+02,  0.000000E+00
  0.000000E+00,  0.587980E+02,  0.000000E+00
  0.000000E+00,  0.593980E+02,  0.513931E-03
  0.000000E+00,  0.599979E+02,  0.000000E+00
  0.000000E+00,  0.605979E+02,  0.000000E+00
  0.000000E+00,  0.611979E+02,  0.000000E+00
  0.000000E+00,  0.617979E+02,  0.000000E+00
  0.000000E+00,  0.623979E+02,  0.000000E+00
  0.000000E+00,  0.629978E+02,  0.000000E+00
  0.000000E+00,  0.635978E+02,  0.000000E+00
  0.000000E+00,  0.641978E+02,  0.000000E+00
  0.000000E+00,  0.647978E+02,  0.000000E+00
  0.000000E+00,  0.653978E+02,  0.000000E+00
  0.000000E+00,  0.659977E+02,  0.371710E-03
  0.000000E+00,  0.665977E+02,  0.000000E+00
  0.000000E+00,  0.671977E+02,  0.649687E-04
  0.000000E+00,  0.677977E+02,  0.349389E-03
  0.000000E+00,  0.683977E+02,  0.000000E+00
  0.000000E+00,  0.689976E+02,  0.000000E+00
  0.000000E+00,  0.695976E+02,  0.000000E+00
  0.000000E+00,  0.701976E+02,  0.000000E+00
  0.000000E+00,  0.707976E+02,  0.000000E+00
  0.000000E+00,  0.713976E+02,  0.000000E+00
  0.000000E+00,  0.719975E+02,  0.000000E+00
  0.000000E+00,  0.725975E+02,  0.000000E+00
  0.000000E+00,  0.731975E+02,  0.000000E+00
  0.000000E+00,  0.737975E+02,  0.000000E+00
  0.000000E+00,  0.743974E+02,  0.000000E+00
  0.000000E+00,  0.749974E+02,  0.000000E+00
  0.000000E+00,  0.755974E+02,  0.000000E+00
  0.000000E+00,  0.761974E+02,  0.000000E+00
  0.000000E+00,  0.767974E+02,  0.000000E+00
  0.000000E+00,  0.773973E+02,  0.000000E+00
  0.000000E+00,  0.779973E+02,  0.000000E+00
  0.000000E+00,  0.785973E+02,  0.000000E+00
  0.000000E+00,  0.791973E+02,  0.000000E+00
  0.000000E+00,  0.797973E+02,  0.000000E+00
  0.000000E+00,  0.803972E+02,  0.000000E+00
  0.000000E+00,  0.809972E+02,  0.000000E+00
  0.000000E+00,  0.815972E+02,  0.000000E+00
  0.000000E+00,  0.821972E+02,  0.000000E+00
  0.000000E+00,  0.827972E+02,  0.000000E+00
  0.000000E+00,  0.833971E+02,  0.000000E+00
  0.000000E+00,  0.839971E+02,  0.000000E+00
  0.000000E+00,  0.845971E+02,  0.000000E+00
  0.000000E+00,  0.851971E+02,  0.000000E+00
  0.000000E+00,  0.857971E+02,  0.000000E+00
  0.000000E+00,  0.863970E+02,  0.000000E+00
  0.000000E+00,  0.869970E+02,  0.000000E+00
  0.000000E+00,  0.875970E+02,  0.000000E+00
  0.000000E+00,  0.881970E+02,  0.000000E+00
  0.000000E+00,  0.887970E+02,  0.000000E+00
  0.000000E+00,  0.893969E+02,  0.000000E+00
  0.000000E+00,  0.899969E+02,  0.000000E+00
  0.000000E+00,  0.905969E+02,  0.000000E+00
  0.000000E+00,  0.911969E+02,  0.123191E-03
  0.000000E+00,  0.917969E+02,  0.000000E+00
  0.000000E+00,  0.923968E+02,  0.000000E+00
  0.000000E+00,  0.929968E+02,  0.000000E+00
  0.000000E+00,  0.935968E+02,  0.000000E+00
  0.000000E+00,  0.941968E+02,  0.000000E+00
  0.000000E+00,  0.947967E+02,  0.000000E+00
  0.000000E+00,  0.953967E+02,  0.000000E+00
  0.000000E+00,  0.959967E+02,  0.000000E+00
  0.000000E+00,  0.965967E+02,  0.000000E+00
  0.000000E+00,  0.971967E+02,  0.000000E+00
  0.000000E+00,  0.977966E+02,  0.000000E+00
  0.000000E+00,  0.983966E+02,  0.000000E+00
  0.000000E+00,  0.989966E+02,  0.000000E+00
  0.000000E+00,  0.995966E+02,  0.000000E+00

  0.250000E-01,  0.000000E+00,  0.000000E+00
